Customer Name,Address,Marcap,Industry,Latitude,Longitude
Walmart,"702 SW 8th St, Bentonville, AR 72716, USA",420000000000.0,Retail,,
Amazon,"410 Terry Ave N, Seattle, WA 98109, USA",1900000000000.0,Internet Services,,
Apple,"One Apple Park Way, Cupertino, CA 95014, USA",3200000000000.0,Electronics,37.332206,-122.0110271
CVS Health,"One CVS Dr, Woonsocket, RI 02895, USA",85000000000.0,Healthcare,,
UnitedHealth Group,"9900 Bren Rd E, Minnetonka, MN 55343, USA",470000000000.0,Healthcare,,
ExxonMobil,"22777 Springwoods Village Pkwy, Spring, TX 77389, USA",450000000000.0,Energy,,
Samsung Electronics,"129 Samsung-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, South Korea",380000000000.0,Electronics,37.2558477,127.0511335
Berkshire Hathaway,"3555 Farnam St, Omaha, NE 68131, USA",890000000000.0,Diversified Financials,41.257105,-95.96544779999999
Shell,"Carel van Bylandtlaan 16, 2596 HR Den Haag, Netherlands",230000000000.0,Energy,,
Toyota Motor,"1 Toyota-cho, Toyota, Aichi 471-8571, Japan",260000000000.0,Automotive,,
Volkswagen,"Berliner Ring 2, 38440 Wolfsburg, Germany",65000000000.0,Automotive,52.4320914,10.758966
McKesson,"6555 N State Hwy 161, Irving, TX 75039, USA",70000000000.0,Healthcare,32.8976981,-96.97221650000002
Chevron,"6001 Bollinger Canyon Rd, San Ramon, CA 94583, USA",300000000000.0,Energy,37.759139,-121.9610456
BP,"1 St James's Square, London SW1Y 4PD, UK",115000000000.0,Energy,51.5078724,-0.134172
Cencora,"1300 Morris Dr, Chesterbrook, PA 19087, USA",40000000000.0,Healthcare,40.0687073,-75.4682381
Cardinal Health,"7000 Cardinal Pl, Dublin, OH 43017, USA",20000000000.0,Healthcare,,
T-Mobile US,"3625 132nd Ave SE, Bellevue, WA 98006, USA",180000000000.0,Telecommunications,47.57866,-122.16541
Alphabet,"1600 Amphitheatre Pkwy, Mountain View, CA 94043, USA",2200000000000.0,Internet Services,37.41756350000001,-122.0835341
Microsoft,"One Microsoft Way, Redmond, WA 98052, USA",3100000000000.0,Software,,
Costco Wholesale,"999 Lake Drive, Issaquah, WA 98027, USA",350000000000.0,Retail,47.5485941,-122.0507697
Tsinghua Unigroup,"Tsinghua Science Park, Haidian District, Beijing, China",5000000000.0,Technology,,
Ping An Insurance,"Ping An Financial Center, Futian District, Shenzhen, China",100000000000.0,Insurance,22.5337879,114.0556996
